filename,partition,task,semantic_label,numeric_label
12369.png,challenge,target,,
05425.png,val,target,hofburg_imperial_palace,1
07675.png,val,target,hofburg_imperial_palace,1
01154.png,val,target,pantheon,0
01454.png,challenge,target,,
09375.png,challenge,target,,
11906.png,train,target,pantheon,0
07265.png,train,target,hofburg_imperial_palace,1
08595.png,challenge,target,,
02494.png,challenge,target,,
00234.png,train,target,pantheon,0
02814.png,train,target,pantheon,0
02434.png,val,target,pantheon,0
06845.png,challenge,target,,
10859.png,val,target,pantheon,0
11080.png,train,target,pantheon,0
07845.png,test,target,hofburg_imperial_palace,1
02334.png,train,target,pantheon,0
07344.png,train,target,pantheon,0
09125.png,train,target,hofburg_imperial_palace,1
07295.png,train,target,hofburg_imperial_palace,1
00564.png,challenge,target,,
03454.png,challenge,target,,
02655.png,test,target,hofburg_imperial_palace,1
07254.png,test,target,pantheon,0
08264.png,train,target,pantheon,0
08855.png,challenge,target,,
04475.png,challenge,target,,
04424.png,val,target,pantheon,0
09565.png,train,target,hofburg_imperial_palace,1
01945.png,train,target,hofburg_imperial_palace,1
02005.png,challenge,target,,
08185.png,train,target,hofburg_imperial_palace,1
09204.png,train,target,pantheon,0
03865.png,train,target,hofburg_imperial_palace,1
09254.png,train,target,pantheon,0
07124.png,challenge,target,,
00145.png,train,target,hofburg_imperial_palace,1
06365.png,challenge,target,,
08255.png,val,target,hofburg_imperial_palace,1
01994.png,test,target,pantheon,0
03855.png,val,target,hofburg_imperial_palace,1
12184.png,train,target,pantheon,0
06125.png,test,target,hofburg_imperial_palace,1
02205.png,test,target,hofburg_imperial_palace,1
03684.png,train,target,pantheon,0
04034.png,challenge,target,,
04445.png,train,target,hofburg_imperial_palace,1
11507.png,challenge,target,,
09384.png,challenge,target,,
03165.png,train,target,hofburg_imperial_palace,1
01575.png,test,target,hofburg_imperial_palace,1
08124.png,challenge,target,,
01885.png,test,target,hofburg_imperial_palace,1
09745.png,challenge,target,,
01014.png,test,target,pantheon,0
01944.png,test,target,pantheon,0
03664.png,train,target,pantheon,0
02505.png,challenge,target,,
08194.png,challenge,target,,
00535.png,val,target,hofburg_imperial_palace,1
07964.png,train,target,pantheon,0
00604.png,train,target,pantheon,0
06324.png,challenge,target,,
04255.png,val,target,hofburg_imperial_palace,1
04904.png,challenge,target,,
05024.png,train,target,pantheon,0
02825.png,train,target,hofburg_imperial_palace,1
06265.png,train,target,hofburg_imperial_palace,1
00614.png,challenge,target,,
03255.png,train,target,hofburg_imperial_palace,1
08635.png,challenge,target,,
02274.png,train,target,pantheon,0
08805.png,test,target,hofburg_imperial_palace,1
09634.png,train,target,pantheon,0
08074.png,val,target,pantheon,0
07984.png,train,target,pantheon,0
05645.png,train,target,hofburg_imperial_palace,1
10288.png,challenge,target,,
05295.png,challenge,target,,
08545.png,train,target,hofburg_imperial_palace,1
09415.png,train,target,hofburg_imperial_palace,1
09955.png,train,target,hofburg_imperial_palace,1
09665.png,train,target,hofburg_imperial_palace,1
00205.png,train,target,hofburg_imperial_palace,1
00144.png,challenge,target,,
08924.png,train,target,pantheon,0
01935.png,train,target,hofburg_imperial_palace,1
07975.png,train,target,hofburg_imperial_palace,1
10070.png,challenge,target,,
08445.png,val,target,hofburg_imperial_palace,1
